taxon_id	species	gene_id	provider_protein_count	minimum_sequence_length	maximum_sequence_length	within_declared_length_gate_count	selected_accession	rejected_accession	selection_status	reason_code	evidence_note
187417	Anomalospiza imberbis	137486862	2	1797	1798	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8843	Anser anser	310885446	4	1840	1901	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
132585	Anser brachyrhynchus	308181755	4	1841	1865	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8845	Anser cygnoides	106048796	4	1841	1865	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
38775	Antechinus flavipes	127560081	1	1826	1826	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
279965	Antrostomus carolinensis	104520963	1	1755	1755	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
37293	Aotus nancymaae	105711233	9	716	1863	7			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
57397	Apaloderma vittatum	104279026	1	1754	1754	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
39617	Aphelocoma coerulescens	138099161	5	1715	1803	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
10129	Apodemus sylvaticus	127693654	5	1802	1803	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9233	Aptenodytes forsteri	103902465	1	1867	1867	1	XP_019328559.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
9234	Aptenodytes patagonicus	143169311	2	1866	1867	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
2696672	Apteryx mantelli	106491786	2	1518	1863	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
308060	Apteryx rowi	112968743	7	1725	1864	7			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8895	Apus apus	127394327	5	619	1731	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8400	Aquarana catesbeiana	141114582	3	1375	1644	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
223781	Aquila chrysaetos chrysaetos	115344989	4	739	1867	3	XP_029879002.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
9417	Artibeus jamaicensis	119051686	1	861	861	0			not_selected	NO_SEQUENCE_WITHIN_LENGTH_GATE	No provider protein for this species passed the declared 0.75-1.10 query-length gate; no terminal-domain failure is asserted.
61156	Arvicanthis niloticus	117711765	5	1668	1842	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
1047088	Arvicola amphibius	119813231	6	1755	1802	6			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8439	Ascaphus truei	142473046	4	1794	1796	4		XP_075436319.1	rejected_during_reference_review	TERMINAL_DOMAIN_QC_FAILED	XP_075436319.1: Only one distinct C-terminal BRCT-related interval was detected by the frozen Pfam 37.1 and SMART 9.0 scan; two are required. Replacement: XP_053555561.1. Evidence: Public raw BLAST, InterProScan, exact inputs, software versions, and hashes are retained under qc/rejected-attempt/.
8957	Astur gentilis	126038513	7	740	1866	6			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
194338	Athene cunicularia	113489164	8	1495	1853	8			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
126797	Athene noctua	141970076	7	1488	1855	7			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
219593	Aythya ferina	311422942	5	1847	1848	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
219594	Aythya fuligula	116498528	3	1847	1848	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
189534	Aythya marila	309887318	5	1847	1848	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9767	Balaenoptera acutorostrata	103005164	1	765	765	0			not_selected	NO_SEQUENCE_WITHIN_LENGTH_GATE	No provider protein for this species passed the declared 0.75-1.10 query-length gate; no terminal-domain failure is asserted.
9768	Balaenoptera borealis	309618684	8	757	1858	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9771	Balaenoptera musculus	118887242	1	765	765	0			not_selected	NO_SEQUENCE_WITHIN_LENGTH_GATE	No provider protein for this species passed the declared 0.75-1.10 query-length gate; no terminal-domain failure is asserted.
9770	Balaenoptera physalus	309650013	8	757	1861	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
2746895	Balaenoptera ricei	132355076	2	1857	1857	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
100784	Balearica regulorum gibbericeps	104643551	5	734	1835	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
43346	Bison bison bison	104990403	6	751	1850	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8345	Bombina bombina	128646280	1	1660	1660	1	XP_053555561.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
30521	Bos grunniens	147351533	14	724	1850	9			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9915	Bos indicus	109573698	15	724	1850	11			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
30522	Bos indicus x Bos taurus	113877153	10	698	1850	8			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9906	Bos javanicus	133232500	12	724	1849	8			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
72004	Bos mutus	102266344	9	724	1850	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9913	Bos taurus	353120	11	724	1849	7	NP_848668.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
8853	Branta canadensis	309430336	1	1840	1840	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
89462	Bubalus bubalis	102399547	8	758	1858	7			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
3119969	Bubalus kerabau	129648938	5	1858	1859	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
107022	Bucephala clangula	308452948	1	1795	1795	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
175836	Buceros rhinoceros silvestris	104499403	1	1816	1816	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
37181	Budorcas taxicolor	128065278	1	757	757	0			not_selected	NO_SEQUENCE_WITHIN_LENGTH_GATE	No provider protein for this species passed the declared 0.75-1.10 query-length gate; no terminal-domain failure is asserted.
8384	Bufo bufo	121004624	1	1655	1655	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
30331	Bufo gargarizans	122942380	1	1651	1651	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
30397	Buteo buteo	142034834	3	1823	1867	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
198806	Calidris pugnax	106898110	3	1856	1857	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9483	Callithrix jacchus	100388186	33	718	1857	26			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
34884	Callorhinus ursinus	112815623	15	803	1913	11			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
76772	Callospermophilus lateralis	143409333	50	718	1875	27			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
187106	Caloenas nicobarica	135998222	1	1762	1762	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
1323832	Calonectris borealis	142092041	1	1862	1862	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9244	Calypte anna	103539324	1	1689	1689	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
87175	Camarhynchus parvulus	115913844	2	1793	1794	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9837	Camelus bactrianus	105080080	14	716	1859	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9838	Camelus dromedarius	105090493	9	717	1859	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
419612	Camelus ferus	102512160	9	718	1859	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
51853	Candoia aspera	134495221	1	1449	1449	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
68724	Canis aureus	144286662	11	811	1934	9			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
143281	Canis lupus baileyi	140606786	11	811	1934	9			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
286419	Canis lupus dingo	112655359	10	811	1934	8			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9615	Canis lupus familiaris	403437	12	811	1934	10	NP_001013434.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
9925	Capra hircus	102173121	4	752	1851	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
34865	Capricornis sumatraensis	138082685	37	586	1855	18			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
111811	Caprimulgus europaeus	306729140	1	1811	1811	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8467	Caretta caretta	125626664	6	752	1904	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
44489	Carettochelys insculpta	142002888	1	1893	1893	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
54380	Cariama cristata	104161284	1	1759	1759	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
1868482	Carlito syrichta	103267879	1	1678	1678	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
51338	Castor canadensis	109687320	8	713	1844	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
91951	Catharus ustulatus	117006327	1	1800	1800	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
10141	Cavia porcellus	100722339	6	747	1754	5	XP_013005150.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
2715852	Cebus imitator	108289781	8	720	1864	7	XP_017364815.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
9002	Centrocercus urophasianus	122170061	6	681	1746	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
73337	Ceratotherium simum simum	101387147	1	1941	1941	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9531	Cercocebus atys	105579705	11	573	1862	7			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
1574408	Cervus canadensis	122441015	5	89	1860	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
9860	Cervus elaphus	122695171	4	1859	1860	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8897	Chaetura pelagica	104385645	1	1731	1731	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
190680	Chamaea fasciata	136301755	2	1807	1808	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
50402	Charadrius vociferus	104294439	1	1763	1763	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8469	Chelonia mydas	102936790	5	752	1908	4	XP_027690803.2		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
106734	Chelonoidis abingdonii	116820339	4	747	1901	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
34839	Chinchilla lanigera	102029928	5	1773	1863	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
269649	Chionomys nivalis	130878070	1	1803	1803	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
296741	Chiroxiphia lanceolata	116798806	4	1807	1808	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
187382	Chlamydotis macqueenii	104480680	1	1861	1861	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
60711	Chlorocebus sabaeus	103243855	21	719	1863	11			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
27675	Choloepus didactylus	119514151	8	760	1862	5	XP_037665688.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
1192867	Chroicocephalus ridibundus	134524464	3	1865	1866	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8478	Chrysemys picta bellii	101942702	5	1861	1908	5	XP_023967135.2		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
185453	Chrysochloris asiatica	102833170	2	740	1815	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
52775	Ciconia boyciana	140662377	6	736	1864	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
127875	Cinclus cinclus	134053387	1	1804	1804	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
197941	Clangula hyemalis	310978814	1	1812	1812	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
3371016	Cnephaeus nilssonii	307115566	2	1864	1865	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
57412	Colius striatus	104555031	1	1808	1808	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
336983	Colobus angolensis palliatus	105503134	1	1825	1825	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
30423	Coloeus monedula	309582179	4	1616	1799	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8932	Columba livia	102087906	7	1716	1739	7	XP_021136715.2		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
143302	Condylura cristata	101623561	2	694	753	0			not_selected	NO_SEQUENCE_WITHIN_LENGTH_GATE	No provider protein for this species passed the declared 0.75-1.10 query-length gate; no terminal-domain failure is asserted.
415028	Corapipo altera	113957400	1	1806	1806	1			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
932674	Corvus cornix cornix	104697774	5	1659	1804	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
134902	Corvus hawaiiensis	125331790	5	1767	1804	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
68294	Corvus kubaryi	121664487	6	1767	1804	6			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
1196302	Corvus moneduloides	116456006	6	1768	1804	6			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
93934	Coturnix japonica	107325322	9	620	1749	6			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
10029	Cricetulus griseus	100770724	15	718	1813	13			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
326986	Crinia signifera	146008345	3	1688	1716	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8502	Crocodylus porosus	109320418	1	1845	1845	1	XP_019406054.1		selected_for_reference_review	TAXONOMICALLY_BALANCED_REVIEW_SET	Selected for executable TaxID, similarity, and terminal-domain review; not yet approved for inference.
9678	Crocuta crocuta	144224326	8	764	1871	4			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
88082	Crotalus tigris	120297989	3	1611	1611	3			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
55661	Cuculus canorus	104054453	2	1858	1859	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
156563	Cyanistes caeruleus	111940108	5	1803	1804	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8868	Cygnus atratus	118259098	10	1797	1857	10			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
110926	Cygnus columbianus	309892091	11	1793	1854	11			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
8869	Cygnus olor	121059600	6	1843	1868	6			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
110931	Cynocephalus volans	134389599	1	731	731	0			not_selected	NO_SEQUENCE_WITHIN_LENGTH_GATE	No provider protein for this species passed the declared 0.75-1.10 query-length gate; no terminal-domain failure is asserted.
9017	Cyrtonyx montezumae	136056767	2	1528	1737	2			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
30532	Dama dama	133057534	9	758	1862	5			not_selected	NOT_SELECTED_TAXONOMIC_BALANCE	Provider species inventoried but not selected for the balanced 50-tip review set; no QC failure is asserted.
