accession	sequence_sha256	taxon_id	species	gene_id	sequence_length	isoform_label	gene_record_annotation_context	selection_rationale
NP_001029141.1	10afcd37e6b72aa91da338d282402fba97a45cc2668411cb2af722c1b7ec4038	13616	Monodelphis domestica	554178	1840		NCBI gene-record annotation context: GCF_027887165.2-RS_2026_06	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_020828279.1	973398a2cd725adb792d38362eb3574fc4821f5304fcc0c340de57cbf5e62ffa	38626	Phascolarctos cinereus	110198384	1857	X1	NCBI gene-record annotation context: GCF_003287225.1-RS_2025_12	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_074079897.1	264ee627ae72a07a8cde2d4be18d30b87ed9eed3cbad17df39d2d2d6b54baa96	92651	Macrotis lagotis	141513703	1835	X1	NCBI gene-record annotation context: GCF_037893015.1-RS_2025_05	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
NP_989500.1	1e9921c11fc3110efeda127ffab8f4f5cda0240f8afed4e7bc0170eb78a27f4d	9031	Gallus gallus	373983	1749		NCBI gene-record annotation context: NCBI Gallus gallus Annotation Release 106	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_072775070.1	0a4fc6f08bfce3fc5667eb5d377e2ef505cdd7f70730d04aef0be379c7123a5a	59729	Taeniopygia guttata	100224649	1803	X1	NCBI gene-record annotation context: GCF_048771995.1-RS_2025_04	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_068775093.1	37dc3025ff82308c8a357fb62d64888d961b3c9fb29591780ba456c20b034966	8801	Struthio camelus	104141229	1861	X1	NCBI gene-record annotation context: GCF_040807025.1-RS_2024_10	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_025969353.2	897f68dd2b730d8e2bdcac1c558612ac1acc4838710b4b3b0eda899591870ade	8790	Dromaius novaehollandiae	112991230	1864	X1	NCBI gene-record annotation context: GCF_036370855.1-RS_2024_04	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_027301205.3	a80059030aa68fc5991aa5118da27dfc7983914f1a3261202584ab51a69e4a56	8839	Anas platyrhynchos	101789679	1848	X1	NCBI gene-record annotation context: GCF_047663525.1-RS_2025_03	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_021136715.2	6518d8b0fb72feddffde944db9f404897be4b2c99efe3a8977b2026debbdd21a	8932	Columba livia	102087906	1739	X1	NCBI gene-record annotation context: GCF_036013475.1-RS_2024_05	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_029879002.1	72157908aa23379eaf7d21b6dddc2215fe3e5d8e1537c559fcd5cf1d6699bd18	223781	Aquila chrysaetos chrysaetos	115344989	1867	X1	NCBI gene-record annotation context: NCBI Aquila chrysaetos chrysaetos Annotation Release 101	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_019328559.1	ea553b7d9af9d6a9fe4d07bfd4c51c4b24d4db4217a3160f53fca27bcc479782	9233	Aptenodytes forsteri	103902465	1867		NCBI gene-record annotation context: NCBI Aptenodytes forsteri Annotation Release 101	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_030901062.1	9568a3147e219d3ef50478c04ba64fabde7c5a2fc8c106401409e5d3b399e21b	13146	Melopsittacus undulatus	101870799	1818	X1	NCBI gene-record annotation context: GCF_012275295.1-RS_2024_11	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_019406054.1	6364488fb8917b6fe32c2f1e07aaffa9d52552f79fdcc5f41262ded2c1056609	8502	Crocodylus porosus	109320418	1845		NCBI gene-record annotation context: NCBI Crocodylus porosus Annotation Release 100	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_014464710.1	ac0184069779d964fbdbee9844c99b6804d15d5b323457baf1f8160b21d4243b	8496	Alligator mississippiensis	102573178	1877	X1	NCBI gene-record annotation context: GCF_030867095.1-RS_2023_09	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_019360910.1	90894e08069c98abecaaeddfcef44290979514fdf7f2aa58e750d964e0b25ae1	94835	Gavialis gangeticus	109289366	1877	X1	NCBI gene-record annotation context: NCBI Gavialis gangeticus Annotation Release 100	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_023967135.2	3f0729614fd813417d8d137b74d74f4b68e9c833291720a4b8d3db178faaff2c	8478	Chrysemys picta bellii	101942702	1908	X1	NCBI gene-record annotation context: GCF_011386835.1-RS_2024_05	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_006125762.2	ea74d5a64ebb0263d6d77ed6ad169c994dc2205bac1a3e57b2c559fe6dfd7199	13735	Pelodiscus sinensis	102444617	1890	X1	NCBI gene-record annotation context: GCF_049634645.1-RS_2025_08	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_027690803.2	97e5a78ee2407fa5e5e5ec8132775432f66bd0a6774d935b12ff216c26a7d871	8469	Chelonia mydas	102936790	1908	X1	NCBI gene-record annotation context: NCBI Chelonia mydas Annotation Release 103	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_008111382.1	21723306572cd252ffe771d97f5f76c41d1ecaad32632407acc1f77dda867ab3	28377	Anolis carolinensis	100553919	1697	X1	NCBI gene-record annotation context: GCF_035594765.1-RS_2024_02	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_026576759.1	ca4a73f151eea970d6f9d32aef847bac3e41f619e42eea043513a1719222e31a	8673	Pseudonaja textilis	113449821	1563		NCBI gene-record annotation context: NCBI Pseudonaja textilis Annotation Release 100	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_020651752.3	c826edc530d1d7a37d705f80a36c6a0e145d92f6f3e17aef0a1b68ee2ad90901	103695	Pogona vitticeps	110080303	1725		NCBI gene-record annotation context: GCF_051106095.1-RS_2025_12	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_034272113.1	a217932a1b6680829ffefd5b86468fdfbe9886b588f7b21e638553817e1ab593	94885	Pantherophis guttatus	117664858	1869		NCBI gene-record annotation context: GCF_029531705.1-RS_2023_10	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
XP_044274665.1	9c7b7e9ccba54b510e31ae97622ccd927334e0597c3cccf500cd087477aa3185	61221	Varanus komodoensis	123017394	1659	X1	NCBI gene-record annotation context: NCBI Varanus komodoensis Annotation Release 100	taxonomically balanced NCBI Ortholog group representative; selected before executable screening.
NP_001107963.1	2c0867acc18f63c71c88eeed6c6dd7c805c5805ccb07cf305150e1e4ad8ecfb1	8364	Xenopus tropicalis	733513	1592		NCBI gene-record annotation context: NCBI Xenopus tropicalis Annotation Release 104	amphibian outgroup candidate; root only after split and stability review
XP_053555561.1	57c1eb13ab482a991c9b8c77f093b9ac712813981dc1480f88360d6b2c66ba87	8345	Bombina bombina	128646280	1660		NCBI gene-record annotation context: GCF_027579735.1-RS_2023_03	amphibian outgroup candidate; replacement selected after the original Ascaphus model failed the two-BRCT gate; root only after split and stability review
XP_069490300.1	2643616d275f5b932982b2395f766853bf266c170b966ea3531990f944ac04ce	8296	Ambystoma mexicanum	138521410	1955	X1	NCBI gene-record annotation context: GCF_040938575.1-RS_2024_10	amphibian outgroup candidate; root only after split and stability review
XP_069093862.1	94f732bf353cfbc67392427c643c97f1d40c6159b355c256cf62c874e79e2339	8319	Pleurodeles waltl	138299491	1957	X1	NCBI gene-record annotation context: GCF_031143425.1-RS_2024_08	amphibian outgroup candidate; root only after split and stability review
XP_029429046.1	a153defd494517318bed78d6d815b33414b090bb364843355551660f698f8273	194408	Rhinatrema bivittatum	115074072	1920	X1	NCBI gene-record annotation context: GCF_901001135.2-RS_2026_03	amphibian outgroup candidate; root only after split and stability review
