accession_version	taxon_id	species	gene_id	sequence_length	length_ratio_to_query	isoform_label	archive_scope	source_record_status	selection_status	reason_code	evidence_note
XP_059733753.1	9913	Bos taurus	353120	724	0.388621	X10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001013434.1	9615	Canis lupus familiaris	403437	1878	1.008052		selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_038530837.1	9615	Canis lupus familiaris	403437	1934	1.038111	X1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530838.1	9615	Canis lupus familiaris	403437	1921	1.031133	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530840.1	9615	Canis lupus familiaris	403437	1891	1.015030	X3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530841.1	9615	Canis lupus familiaris	403437	1891	1.015030	X3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530842.1	9615	Canis lupus familiaris	403437	1891	1.015030	X3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530843.1	9615	Canis lupus familiaris	403437	1878	1.008052	X4	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530844.1	9615	Canis lupus familiaris	403437	1878	1.008052	X4	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530845.1	9615	Canis lupus familiaris	403437	1878	1.008052	X4	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530846.1	9615	Canis lupus familiaris	403437	1846	0.990875	X5	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530847.1	9615	Canis lupus familiaris	403437	824	0.442297	X6	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_038530848.1	9615	Canis lupus familiaris	403437	811	0.435319	X7	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_023967135.2	8478	Chrysemys picta bellii	101942702	1908	1.024155	X1	selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_023967136.2	8478	Chrysemys picta bellii	101942702	1908	1.024155	X1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_023967139.2	8478	Chrysemys picta bellii	101942702	1903	1.021471	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_042699947.2	8478	Chrysemys picta bellii	101942702	1908	1.024155	X1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_065433651.1	8478	Chrysemys picta bellii	101942702	1861	0.998926	X3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_019406054.1	8502	Crocodylus porosus	109320418	1845	0.990338		selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_058140293.1	9361	Dasypus novemcinctus	101429125	1839	0.987118	X1	selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_058140294.1	9361	Dasypus novemcinctus	101429125	1773	0.951691	X3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_058140295.1	9361	Dasypus novemcinctus	101429125	989	0.530864	X4	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_058140296.1	9361	Dasypus novemcinctus	101429125	755	0.405260	X5	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_058140297.1	9361	Dasypus novemcinctus	101429125	754	0.404724	X6	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_058140298.1	9361	Dasypus novemcinctus	101429125	1838	0.986581	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_014595447.2	9796	Equus caballus	100051990	1856	0.996243	X1	selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_023508246.1	9796	Equus caballus	100051990	755	0.405260	X17	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083287.1	9796	Equus caballus	100051990	1855	0.995706	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083288.1	9796	Equus caballus	100051990	1855	0.995706	X3	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083289.1	9796	Equus caballus	100051990	1855	0.995706	X4	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083290.1	9796	Equus caballus	100051990	1854	0.995169	X5	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083291.1	9796	Equus caballus	100051990	1854	0.995169	X6	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083292.1	9796	Equus caballus	100051990	1854	0.995169	X7	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083293.1	9796	Equus caballus	100051990	1853	0.994632	X8	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083294.1	9796	Equus caballus	100051990	1560	0.837359	X9	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083295.1	9796	Equus caballus	100051990	1560	0.837359	X9	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083296.1	9796	Equus caballus	100051990	992	0.532475	X10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083298.1	9796	Equus caballus	100051990	991	0.531938	X11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083299.1	9796	Equus caballus	100051990	991	0.531938	X11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083300.1	9796	Equus caballus	100051990	991	0.531938	X12	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083301.1	9796	Equus caballus	100051990	991	0.531938	X13	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083302.1	9796	Equus caballus	100051990	990	0.531401	X14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083303.1	9796	Equus caballus	100051990	990	0.531401	X14	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083304.1	9796	Equus caballus	100051990	756	0.405797	X15	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083305.1	9796	Equus caballus	100051990	756	0.405797	X15	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083306.1	9796	Equus caballus	100051990	755	0.405260	X16	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083307.1	9796	Equus caballus	100051990	755	0.405260	X16	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083308.1	9796	Equus caballus	100051990	755	0.405260	X17	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083309.1	9796	Equus caballus	100051990	755	0.405260	X18	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083310.1	9796	Equus caballus	100051990	754	0.404724	X19	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083311.1	9796	Equus caballus	100051990	754	0.404724	X19	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083312.1	9796	Equus caballus	100051990	754	0.404724	X20	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083313.1	9796	Equus caballus	100051990	754	0.404724	X21	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083314.1	9796	Equus caballus	100051990	753	0.404187	X22	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083315.1	9796	Equus caballus	100051990	724	0.388621	X23	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_070083316.1	9796	Equus caballus	100051990	723	0.388084	X24	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_989500.1	9031	Gallus gallus	373983	1749	0.938808		selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
XP_015155047.2	9031	Gallus gallus	373983	1750	0.939345	X1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_046760270.1	9031	Gallus gallus	373983	1749	0.938808	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_046789154.1	9031	Gallus gallus	373983	1750	0.939345	X1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
XP_046789155.1	9031	Gallus gallus	373983	1749	0.938808	X2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_009225.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	selected	FIXED_ANALYSIS_SET	Member of the committed 18-tip set; downstream sequence and domain QC is reported in the separate QC artifacts.
NP_001394500.1	9606	Homo sapiens	672	1792	0.961889	6	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394510.1	9606	Homo sapiens	672	1885	1.011809	7	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394511.1	9606	Homo sapiens	672	1885	1.011809	7	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394512.1	9606	Homo sapiens	672	1884	1.011272	2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394514.1	9606	Homo sapiens	672	1884	1.011272	2	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394516.1	9606	Homo sapiens	672	1884	1.011272	8	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394519.1	9606	Homo sapiens	672	1883	1.010735	9	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394520.1	9606	Homo sapiens	672	1883	1.010735	9	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394522.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394523.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394525.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394526.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394527.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394531.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394532.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394534.1	9606	Homo sapiens	672	1863	1.000000	1	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394539.1	9606	Homo sapiens	672	1862	0.999463	10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394540.1	9606	Homo sapiens	672	1862	0.999463	10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394541.1	9606	Homo sapiens	672	1862	0.999463	10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394542.1	9606	Homo sapiens	672	1862	0.999463	10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394543.1	9606	Homo sapiens	672	1862	0.999463	10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394544.1	9606	Homo sapiens	672	1862	0.999463	10	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394545.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394546.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394547.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394548.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394549.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394550.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394551.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394552.1	9606	Homo sapiens	672	1862	0.999463	11	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394553.1	9606	Homo sapiens	672	1862	0.999463	12	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394554.1	9606	Homo sapiens	672	1862	0.999463	12	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394555.1	9606	Homo sapiens	672	1862	0.999463	12	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394556.1	9606	Homo sapiens	672	1861	0.998926	13	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394557.1	9606	Homo sapiens	672	1861	0.998926	13	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394558.1	9606	Homo sapiens	672	1861	0.998926	13	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394559.1	9606	Homo sapiens	672	1861	0.998926	13	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394560.1	9606	Homo sapiens	672	1861	0.998926	13	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
NP_001394561.1	9606	Homo sapiens	672	1861	0.998926	13	selected_species	present	not_selected	NOT_PROMOTED_ONE_PER_SPECIES_SET	Provider record inventoried but not promoted into the fixed one-per-species set; it was not individually subjected to downstream BLAST, domain, or tree QC.
