accession	query_accession	hsp_count	query_length	subject_length	query_covered_residues	subject_covered_residues	query_coverage	target_coverage	percent_identity	alignment_length	min_evalue	sum_bitscore	interpro_signature_hits	n_terminal_ring_signature_hits	ring_coordinates	ring_evidence	c_terminal_brct_signature_hits	brct_repeat_count	brct_coordinates	brct_evidence	domain_qc_status
NP_001013434.1	NP_009225.1	1	1863	1878	1861	1869	0.998926	0.995208	74.12	1874	0	2667	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1647-1729;1766-1853	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1663-1726;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1766-1850;SMART:SM00292:BRCT_7@1647-1729;SMART:SM00292:BRCT_7@1766-1853	pass
NP_848668.1	NP_009225.1	1	1863	1849	1856	1849	0.996243	1	71.781	1864	0	2587	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1638-1719;1751-1838	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1650-1716;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1752-1835;SMART:SM00292:BRCT_7@1638-1719;SMART:SM00292:BRCT_7@1751-1838	pass
XP_014595447.2	NP_009225.1	1	1863	1856	1859	1856	0.997853	1	76.515	1865	0	2824	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1641-1723;1755-1842	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1657-1720;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1755-1839;SMART:SM00292:BRCT_7@1641-1723;SMART:SM00292:BRCT_7@1755-1842	pass
XP_019673492.2	NP_009225.1	1	1863	1873	1861	1864	0.998926	0.995195	75.548	1869	0	2756	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1647-1729;1761-1848	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1659-1726;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1761-1845;SMART:SM00292:BRCT_7@1647-1729;SMART:SM00292:BRCT_7@1761-1848	pass
XP_013845389.1	NP_009225.1	1	1863	1865	1861	1859	0.998926	0.996783	74.318	1869	0	2722	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1642-1724;1756-1843	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1649-1721;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1756-1840;SMART:SM00292:BRCT_7@1642-1724;SMART:SM00292:BRCT_7@1756-1843	pass
XP_014314296.1	NP_009225.1	1	1863	1876	1832	1811	0.98336	0.965352	72.313	1842	0	2524	6	1	47-82	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@47-82	4	2	1638-1723;1755-1842	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1652-1720;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1755-1838;SMART:SM00292:BRCT_7@1638-1723;SMART:SM00292:BRCT_7@1755-1842	pass
XP_060059410.1	NP_009225.1	1	1863	1838	1861	1829	0.998926	0.995103	65.72	1867	0	2259	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1607-1694;1726-1813	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1628-1691;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1726-1810;SMART:SM00292:BRCT_7@1607-1694;SMART:SM00292:BRCT_7@1726-1813	pass
XP_003414318.3	NP_009225.1	1	1863	1858	1863	1853	1	0.997309	73.971	1871	0	2671	7	2	29-69	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@29-69;SMART:SM00184:ring_2@29-69	4	2	1649-1721;1753-1840	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1654-1718;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1753-1837;SMART:SM00292:BRCT_7@1649-1721;SMART:SM00292:BRCT_7@1753-1840	pass
XP_023581001.1	NP_009225.1	1	1863	1851	1863	1851	1	1	75.521	1871	0	2686	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1632-1714;1746-1833	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1647-1711;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1746-1830;SMART:SM00292:BRCT_7@1632-1714;SMART:SM00292:BRCT_7@1746-1833	pass
XP_075417988.1	NP_009225.1	1	1863	1802	1857	1800	0.996779	0.99889	57.647	1870	0	1855	7	2	20-60	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@20-60;SMART:SM00184:ring_2@20-60	4	2	1583-1665;1697-1784	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1593-1657;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1697-1781;SMART:SM00292:BRCT_7@1583-1665;SMART:SM00292:BRCT_7@1697-1784	pass
XP_058140293.1	NP_009225.1	1	1863	1839	1859	1839	0.997853	1	74.397	1867	0	2667	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1624-1706;1738-1825	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1640-1703;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1738-1822;SMART:SM00292:BRCT_7@1624-1706;SMART:SM00292:BRCT_7@1738-1825	pass
XP_037665688.1	NP_009225.1	1	1863	1862	1861	1860	0.998926	0.998926	75.694	1872	0	2739	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1643-1725;1757-1844	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1655-1722;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1757-1841;SMART:SM00292:BRCT_7@1643-1725;SMART:SM00292:BRCT_7@1757-1844	pass
NP_001029141.1	NP_009225.1	1	1863	1840	1857	1834	0.996779	0.996739	46.215	1889	0	1321	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1615-1703;1735-1822	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1632-1700;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1735-1819;SMART:SM00292:BRCT_7@1615-1703;SMART:SM00292:BRCT_7@1735-1822	pass
XP_020828279.1	NP_009225.1	1	1863	1857	1857	1851	0.996779	0.996769	48.103	1898	0	1448	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1635-1720;1752-1839	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1655-1717;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1753-1836;SMART:SM00292:BRCT_7@1635-1720;SMART:SM00292:BRCT_7@1752-1839	pass
XP_074079897.1	NP_009225.1	1	1863	1835	1857	1830	0.996779	0.997275	45.664	1914	0	1283	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1617-1699;1730-1818	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1623-1696;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1730-1815;SMART:SM00292:BRCT_7@1617-1699;SMART:SM00292:BRCT_7@1731-1818	pass
NP_989500.1	NP_009225.1	3	1863	1749	1469	1487	0.788513	0.8502	36.585	1558	6.02e-82	669	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1535-1617;1648-1736	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1546-1614;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1648-1733;SMART:SM00292:BRCT_7@1535-1617;SMART:SM00292:BRCT_7@1649-1736	pass
XP_072775070.1	NP_009225.1	2	1863	1803	1138	1163	0.610843	0.645036	37.009	1197	2.33e-85	601	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1591-1673;1705-1792	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1597-1670;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1705-1789;SMART:SM00292:BRCT_7@1591-1673;SMART:SM00292:BRCT_7@1705-1792	pass
XP_068775093.1	NP_009225.1	2	1863	1861	1708	1720	0.916801	0.924234	36.842	1805	5.27e-137	770	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1646-1731;1762-1850	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1660-1728;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1762-1847;SMART:SM00292:BRCT_7@1646-1731;SMART:SM00292:BRCT_7@1763-1850	pass
XP_025969353.2	NP_009225.1	1	1863	1864	1855	1863	0.995706	0.999464	35.282	2001	0	786	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1649-1734;1765-1853	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1660-1731;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1765-1850;SMART:SM00292:BRCT_7@1649-1734;SMART:SM00292:BRCT_7@1766-1853	pass
XP_027301205.3	NP_009225.1	1	1863	1848	1026	996	0.550725	0.538961	36.229	1082	5.15e-134	456	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1636-1718;1749-1837	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1644-1715;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1749-1834;SMART:SM00292:BRCT_7@1636-1718;SMART:SM00292:BRCT_7@1750-1837	pass
XP_021136715.2	NP_009225.1	2	1863	1739	1638	1618	0.879227	0.93042	36.214	1759	1.12e-127	747	7	2	27-68	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@27-68;SMART:SM00184:ring_2@27-68	4	2	1524-1609;1641-1728	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1534-1606;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1642-1724;SMART:SM00292:BRCT_7@1524-1609;SMART:SM00292:BRCT_7@1641-1728	pass
XP_029879002.1	NP_009225.1	1	1863	1867	1855	1866	0.995706	0.999464	34.26	1979	0	737	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1652-1737;1768-1856	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1663-1734;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1768-1853;SMART:SM00292:BRCT_7@1652-1737;SMART:SM00292:BRCT_7@1769-1856	pass
XP_019328559.1	NP_009225.1	1	1863	1867	1855	1866	0.995706	0.999464	34.702	1997	0	758	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1652-1737;1768-1856	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1661-1734;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1768-1853;SMART:SM00292:BRCT_7@1652-1737;SMART:SM00292:BRCT_7@1769-1856	pass
XP_030901062.1	NP_009225.1	2	1863	1818	1624	1636	0.871712	0.89989	36.291	1747	1.27e-119	733	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1603-1688;1720-1807	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1614-1685;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1721-1804;SMART:SM00292:BRCT_7@1603-1688;SMART:SM00292:BRCT_7@1720-1807	pass
XP_019406054.1	NP_009225.1	1	1863	1845	210	210	0.112721	0.113821	66.667	210	1.68e-88	314	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1629-1713;1745-1832	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1631-1710;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1745-1829;SMART:SM00292:BRCT_7@1629-1713;SMART:SM00292:BRCT_7@1745-1832	pass
XP_014464710.1	NP_009225.1	1	1863	1877	1857	1876	0.996779	0.999467	36.58	1971	0	844	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1661-1745;1777-1864	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1666-1742;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1777-1861;SMART:SM00292:BRCT_7@1661-1745;SMART:SM00292:BRCT_7@1777-1864	pass
XP_019360910.1	NP_009225.1	1	1863	1877	1857	1876	0.996779	0.999467	36.034	1987	0	828	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1661-1745;1777-1864	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1664-1742;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1777-1861;SMART:SM00292:BRCT_7@1661-1745;SMART:SM00292:BRCT_7@1777-1864	pass
XP_023967135.2	NP_009225.1	1	1863	1908	1857	1907	0.996779	0.999476	37.562	2010	0	858	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1695-1777;1809-1895	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1701-1774;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1809-1892;SMART:SM00292:BRCT_7@1695-1777;SMART:SM00292:BRCT_7@1809-1895	pass
XP_006125762.2	NP_009225.1	1	1863	1890	1857	1889	0.996779	0.999471	37.362	1986	0	805	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1676-1758;1790-1877	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1681-1755;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1790-1874;SMART:SM00292:BRCT_7@1676-1758;SMART:SM00292:BRCT_7@1790-1877	pass
XP_027690803.2	NP_009225.1	1	1863	1908	1857	1907	0.996779	0.999476	38.078	1988	0	885	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1695-1777;1809-1895	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1700-1774;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1809-1892;SMART:SM00292:BRCT_7@1695-1777;SMART:SM00292:BRCT_7@1809-1895	pass
XP_008111382.1	NP_009225.1	3	1863	1697	1156	1112	0.620505	0.655274	34.241	1212	5.24e-78	455.9	7	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1481-1567;1598-1686	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1485-1564;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1598-1682;SMART:SM00292:BRCT_7@1481-1567;SMART:SM00292:BRCT_7@1599-1686	pass
XP_026576759.1	NP_009225.1	3	1863	1563	914	926	0.490607	0.59245	36.68	1006	5.49e-80	487.7	6	2	23-64	Pfam:PF13923:Zinc finger, C3HC4 type (RING finger)@23-64;SMART:SM00184:ring_2@24-64	4	2	1343-1425;1456-1544	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1352-1422;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1456-1541;SMART:SM00292:BRCT_7@1343-1425;SMART:SM00292:BRCT_7@1457-1544	pass
XP_020651752.3	NP_009225.1	3	1863	1725	1179	1145	0.63285	0.663768	36.517	1246	4.71e-75	564.5	7	2	35-76	Pfam:PF13923:Zinc finger, C3HC4 type (RING finger)@35-76;SMART:SM00184:ring_2@36-76	4	2	1508-1593;1625-1712	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1522-1590;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1625-1709;SMART:SM00292:BRCT_7@1508-1593;SMART:SM00292:BRCT_7@1625-1712	pass
XP_034272113.1	NP_009225.1	3	1863	1869	676	665	0.362856	0.355805	42.336	685	7.51e-76	498.2	6	2	24-64	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-64;SMART:SM00184:ring_2@24-64	4	2	1646-1731;1762-1850	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1657-1728;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1762-1847;SMART:SM00292:BRCT_7@1646-1731;SMART:SM00292:BRCT_7@1763-1850	pass
XP_044274665.1	NP_009225.1	2	1863	1659	1617	1518	0.867955	0.915009	30.635	1717	2.27e-64	450	6	2	29-69	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@29-69;SMART:SM00184:ring_2@29-69	3	2	1441-1526;1558-1623	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1451-1523;SMART:SM00292:BRCT_7@1441-1526;SMART:SM00292:BRCT_7@1558-1623	pass
NP_001107963.1	NP_009225.1	2	1863	1592	719	687	0.385937	0.431533	36.536	739	1.31e-64	400	7	2	19-60	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@19-60;SMART:SM00184:ring_2@19-60	4	2	1368-1462;1494-1582	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1385-1459;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1495-1579;SMART:SM00292:BRCT_7@1368-1462;SMART:SM00292:BRCT_7@1494-1582	pass
XP_053555561.1	NP_009225.1	4	1863	1660	806	766	0.432636	0.461446	41.983	817	1.7e-71	552.7	5	1	1-35	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@1-35	3	2	1454-1533;1565-1650	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1455-1530;SMART:SM00292:BRCT_7@1454-1533;SMART:SM00292:BRCT_7@1565-1650	pass
XP_069490300.1	NP_009225.1	3	1863	1955	1022	1042	0.548578	0.532992	39.358	1090	8.2e-72	554.7	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1742-1824;1856-1942	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1753-1821;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1860-1938;SMART:SM00292:BRCT_7@1742-1824;SMART:SM00292:BRCT_7@1856-1942	pass
XP_069093862.1	NP_009225.1	3	1863	1957	1308	1320	0.702093	0.674502	32.76	1395	2.59e-73	543	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-62;SMART:SM00184:ring_2@24-65	4	2	1744-1826;1858-1944	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1755-1823;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1862-1940;SMART:SM00292:BRCT_7@1744-1826;SMART:SM00292:BRCT_7@1858-1944	pass
XP_029429046.1	NP_009225.1	2	1863	1920	1090	1140	0.585078	0.59375	37.478	1158	5.53e-87	592	7	2	24-65	Pfam:PF00097:Zinc finger, C3HC4 type (RING finger)@24-65;SMART:SM00184:ring_2@24-65	4	2	1706-1788;1820-1907	Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1717-1785;Pfam:PF00533:BRCA1 C Terminus (BRCT) domain@1820-1903;SMART:SM00292:BRCT_7@1706-1788;SMART:SM00292:BRCT_7@1820-1907	pass
