accession	profile	domain	interval_index	residue_start	residue_end	raw_msa_start	raw_msa_end	total_residues	retained_residues	retained_fraction	minimum_retained_fraction	status
NP_033894.3	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_033894.3	strict	brct	1	1587	1669	1947	2029	83	83	1.000000	0.800000	pass
NP_033894.3	strict	brct	2	1699	1787	2064	2154	89	89	1.000000	0.800000	pass
XP_017204702.2	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_017204702.2	permissive	brct	1	1626	1709	1946	2029	84	84	1.000000	0.800000	pass
XP_017204702.2	permissive	brct	2	1741	1828	2066	2154	88	88	1.000000	0.800000	pass
XP_017204702.2	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_017204702.2	balanced	brct	1	1626	1709	1946	2029	84	84	1.000000	0.800000	pass
XP_017204702.2	balanced	brct	2	1741	1828	2066	2154	88	88	1.000000	0.800000	pass
XP_017204702.2	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_017204702.2	strict	brct	1	1626	1709	1946	2029	84	84	1.000000	0.800000	pass
XP_017204702.2	strict	brct	2	1741	1828	2066	2154	88	88	1.000000	0.800000	pass
NP_001013434.1	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001013434.1	permissive	brct	1	1647	1729	1947	2029	83	83	1.000000	0.800000	pass
NP_001013434.1	permissive	brct	2	1766	1853	2066	2154	88	88	1.000000	0.800000	pass
NP_001013434.1	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001013434.1	balanced	brct	1	1647	1729	1947	2029	83	83	1.000000	0.800000	pass
NP_001013434.1	balanced	brct	2	1766	1853	2066	2154	88	88	1.000000	0.800000	pass
NP_001013434.1	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001013434.1	strict	brct	1	1647	1729	1947	2029	83	83	1.000000	0.800000	pass
NP_001013434.1	strict	brct	2	1766	1853	2066	2154	88	88	1.000000	0.800000	pass
NP_848668.1	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_848668.1	permissive	brct	1	1638	1719	1948	2029	82	82	1.000000	0.800000	pass
NP_848668.1	permissive	brct	2	1751	1838	2066	2154	88	88	1.000000	0.800000	pass
NP_848668.1	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_848668.1	balanced	brct	1	1638	1719	1948	2029	82	82	1.000000	0.800000	pass
NP_848668.1	balanced	brct	2	1751	1838	2066	2154	88	88	1.000000	0.800000	pass
NP_848668.1	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_848668.1	strict	brct	1	1638	1719	1948	2029	82	82	1.000000	0.800000	pass
NP_848668.1	strict	brct	2	1751	1838	2066	2154	88	88	1.000000	0.800000	pass
XP_014595447.2	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_014595447.2	permissive	brct	1	1641	1723	1947	2029	83	83	1.000000	0.800000	pass
XP_014595447.2	permissive	brct	2	1755	1842	2066	2154	88	88	1.000000	0.800000	pass
XP_014595447.2	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_014595447.2	balanced	brct	1	1641	1723	1947	2029	83	83	1.000000	0.800000	pass
XP_014595447.2	balanced	brct	2	1755	1842	2066	2154	88	88	1.000000	0.800000	pass
XP_014595447.2	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_014595447.2	strict	brct	1	1641	1723	1947	2029	83	83	1.000000	0.800000	pass
XP_014595447.2	strict	brct	2	1755	1842	2066	2154	88	88	1.000000	0.800000	pass
XP_003414318.3	permissive	ring	1	29	69	29	70	41	41	1.000000	0.800000	pass
XP_003414318.3	permissive	brct	1	1649	1721	1957	2029	73	73	1.000000	0.800000	pass
XP_003414318.3	permissive	brct	2	1753	1840	2066	2154	88	88	1.000000	0.800000	pass
XP_003414318.3	balanced	ring	1	29	69	29	70	41	41	1.000000	0.800000	pass
XP_003414318.3	balanced	brct	1	1649	1721	1957	2029	73	73	1.000000	0.800000	pass
XP_003414318.3	balanced	brct	2	1753	1840	2066	2154	88	88	1.000000	0.800000	pass
XP_003414318.3	strict	ring	1	29	69	29	70	41	41	1.000000	0.800000	pass
XP_003414318.3	strict	brct	1	1649	1721	1957	2029	73	73	1.000000	0.800000	pass
XP_003414318.3	strict	brct	2	1753	1840	2066	2154	88	88	1.000000	0.800000	pass
XP_058140293.1	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_058140293.1	permissive	brct	1	1624	1706	1947	2029	83	83	1.000000	0.800000	pass
XP_058140293.1	permissive	brct	2	1738	1825	2066	2154	88	88	1.000000	0.800000	pass
XP_058140293.1	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_058140293.1	balanced	brct	1	1624	1706	1947	2029	83	83	1.000000	0.800000	pass
XP_058140293.1	balanced	brct	2	1738	1825	2066	2154	88	88	1.000000	0.800000	pass
XP_058140293.1	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_058140293.1	strict	brct	1	1624	1706	1947	2029	83	83	1.000000	0.800000	pass
XP_058140293.1	strict	brct	2	1738	1825	2066	2154	88	88	1.000000	0.800000	pass
NP_001029141.1	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001029141.1	permissive	brct	1	1615	1703	1941	2029	89	89	1.000000	0.800000	pass
NP_001029141.1	permissive	brct	2	1735	1822	2066	2154	88	88	1.000000	0.800000	pass
NP_001029141.1	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001029141.1	balanced	brct	1	1615	1703	1941	2029	89	89	1.000000	0.800000	pass
NP_001029141.1	balanced	brct	2	1735	1822	2066	2154	88	88	1.000000	0.800000	pass
NP_001029141.1	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
NP_001029141.1	strict	brct	1	1615	1703	1941	2029	89	89	1.000000	0.800000	pass
NP_001029141.1	strict	brct	2	1735	1822	2066	2154	88	88	1.000000	0.800000	pass
NP_989500.1	permissive	ring	1	24	65	29	70	42	42	1.000000	0.800000	pass
NP_989500.1	permissive	brct	1	1535	1617	1947	2029	83	83	1.000000	0.800000	pass
NP_989500.1	permissive	brct	2	1648	1736	2065	2154	89	89	1.000000	0.800000	pass
NP_989500.1	balanced	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
NP_989500.1	balanced	brct	1	1535	1617	1947	2029	83	83	1.000000	0.800000	pass
NP_989500.1	balanced	brct	2	1648	1736	2065	2154	89	89	1.000000	0.800000	pass
NP_989500.1	strict	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
NP_989500.1	strict	brct	1	1535	1617	1947	2029	83	83	1.000000	0.800000	pass
NP_989500.1	strict	brct	2	1648	1736	2065	2154	89	89	1.000000	0.800000	pass
XP_072775070.1	permissive	ring	1	24	65	29	70	42	42	1.000000	0.800000	pass
XP_072775070.1	permissive	brct	1	1591	1673	1947	2029	83	83	1.000000	0.800000	pass
XP_072775070.1	permissive	brct	2	1705	1792	2066	2154	88	88	1.000000	0.800000	pass
XP_072775070.1	balanced	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_072775070.1	balanced	brct	1	1591	1673	1947	2029	83	83	1.000000	0.800000	pass
XP_072775070.1	balanced	brct	2	1705	1792	2066	2154	88	88	1.000000	0.800000	pass
XP_072775070.1	strict	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_072775070.1	strict	brct	1	1591	1673	1947	2029	83	83	1.000000	0.800000	pass
XP_072775070.1	strict	brct	2	1705	1792	2066	2154	88	88	1.000000	0.800000	pass
XP_019406054.1	permissive	ring	1	24	65	29	70	42	42	1.000000	0.800000	pass
XP_019406054.1	permissive	brct	1	1629	1713	1945	2029	85	85	1.000000	0.800000	pass
XP_019406054.1	permissive	brct	2	1745	1832	2066	2154	88	88	1.000000	0.800000	pass
XP_019406054.1	balanced	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_019406054.1	balanced	brct	1	1629	1713	1945	2029	85	85	1.000000	0.800000	pass
XP_019406054.1	balanced	brct	2	1745	1832	2066	2154	88	88	1.000000	0.800000	pass
XP_019406054.1	strict	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_019406054.1	strict	brct	1	1629	1713	1945	2029	85	85	1.000000	0.800000	pass
XP_019406054.1	strict	brct	2	1745	1832	2066	2154	88	88	1.000000	0.800000	pass
XP_023967135.2	permissive	ring	1	24	65	29	70	42	42	1.000000	0.800000	pass
XP_023967135.2	permissive	brct	1	1695	1777	1947	2029	83	83	1.000000	0.800000	pass
XP_023967135.2	permissive	brct	2	1809	1895	2066	2154	87	87	1.000000	0.800000	pass
XP_023967135.2	balanced	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_023967135.2	balanced	brct	1	1695	1777	1947	2029	83	83	1.000000	0.800000	pass
XP_023967135.2	balanced	brct	2	1809	1895	2066	2154	87	87	1.000000	0.800000	pass
XP_023967135.2	strict	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_023967135.2	strict	brct	1	1695	1777	1947	2029	83	83	1.000000	0.800000	pass
XP_023967135.2	strict	brct	2	1809	1895	2066	2154	87	87	1.000000	0.800000	pass
XP_008111382.1	permissive	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_008111382.1	permissive	brct	1	1481	1567	1943	2029	87	87	1.000000	0.800000	pass
XP_008111382.1	permissive	brct	2	1598	1686	2065	2154	89	89	1.000000	0.800000	pass
XP_008111382.1	balanced	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_008111382.1	balanced	brct	1	1481	1567	1943	2029	87	87	1.000000	0.800000	pass
XP_008111382.1	balanced	brct	2	1598	1686	2065	2154	89	89	1.000000	0.800000	pass
XP_008111382.1	strict	ring	1	24	64	29	70	41	41	1.000000	0.800000	pass
XP_008111382.1	strict	brct	1	1481	1567	1943	2029	87	87	1.000000	0.800000	pass
XP_008111382.1	strict	brct	2	1598	1686	2065	2154	89	89	1.000000	0.800000	pass
XP_026576759.1	permissive	ring	1	23	64	28	70	42	42	1.000000	0.800000	pass
XP_026576759.1	permissive	brct	1	1343	1425	1947	2029	83	83	1.000000	0.800000	pass
XP_026576759.1	permissive	brct	2	1456	1544	2065	2154	89	89	1.000000	0.800000	pass
XP_026576759.1	balanced	ring	1	23	64	28	70	42	42	1.000000	0.800000	pass
XP_026576759.1	balanced	brct	1	1343	1425	1947	2029	83	83	1.000000	0.800000	pass
XP_026576759.1	balanced	brct	2	1456	1544	2065	2154	89	89	1.000000	0.800000	pass
XP_026576759.1	strict	ring	1	23	64	28	70	42	42	1.000000	0.800000	pass
XP_026576759.1	strict	brct	1	1343	1425	1947	2029	83	83	1.000000	0.800000	pass
XP_026576759.1	strict	brct	2	1456	1544	2065	2154	89	89	1.000000	0.800000	pass
NP_001107963.1	permissive	ring	1	19	60	29	70	42	42	1.000000	0.800000	pass
NP_001107963.1	permissive	brct	1	1368	1462	1935	2029	95	95	1.000000	0.800000	pass
NP_001107963.1	permissive	brct	2	1494	1582	2066	2154	89	88	0.988764	0.800000	pass
NP_001107963.1	balanced	ring	1	19	60	29	70	42	41	0.976190	0.800000	pass
NP_001107963.1	balanced	brct	1	1368	1462	1935	2029	95	93	0.978947	0.800000	pass
NP_001107963.1	balanced	brct	2	1494	1582	2066	2154	89	88	0.988764	0.800000	pass
NP_001107963.1	strict	ring	1	19	60	29	70	42	41	0.976190	0.800000	pass
NP_001107963.1	strict	brct	1	1368	1462	1935	2029	95	89	0.936842	0.800000	pass
NP_001107963.1	strict	brct	2	1494	1582	2066	2154	89	88	0.988764	0.800000	pass
XP_029429046.1	permissive	ring	1	24	65	29	70	42	42	1.000000	0.800000	pass
XP_029429046.1	permissive	brct	1	1706	1788	1947	2029	83	83	1.000000	0.800000	pass
XP_029429046.1	permissive	brct	2	1820	1907	2066	2154	88	88	1.000000	0.800000	pass
XP_029429046.1	balanced	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_029429046.1	balanced	brct	1	1706	1788	1947	2029	83	83	1.000000	0.800000	pass
XP_029429046.1	balanced	brct	2	1820	1907	2066	2154	88	88	1.000000	0.800000	pass
XP_029429046.1	strict	ring	1	24	65	29	70	42	41	0.976190	0.800000	pass
XP_029429046.1	strict	brct	1	1706	1788	1947	2029	83	83	1.000000	0.800000	pass
XP_029429046.1	strict	brct	2	1820	1907	2066	2154	88	88	1.000000	0.800000	pass
