accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes
NP_001013434.1	9615	Canis lupus familiaris	ingroup	ortholog	true	false	false		1878			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Canis lupus familiaris Annotation Release 106	2026-08-13	Laurasiatheria	NP_001013434.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
NP_848668.1	9913	Bos taurus	ingroup	ortholog	true	false	false		1849			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_002263795.3-RS_2024_12	2026-08-13	Laurasiatheria	NP_848668.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_014595447.2	9796	Equus caballus	ingroup	ortholog	false	false	false		1856			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_041296265.1-RS_2024_12	2026-08-13	Laurasiatheria	XP_014595447.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_019673492.2	9685	Felis catus	ingroup	ortholog	false	false	false		1873			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Felis catus Annotation Release 105	2026-08-13	Laurasiatheria	XP_019673492.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_013845389.1	9823	Sus scrofa	ingroup	ortholog	false	false	false		1865			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_054392235.1-RS_2026_06	2026-08-13	Laurasiatheria	XP_013845389.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_014314296.1	59463	Myotis lucifugus	ingroup	ortholog	false	false	false		1876			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Myotis lucifugus Annotation Release 102	2026-08-13	Laurasiatheria	XP_014314296.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_060059410.1	9365	Erinaceus europaeus	ingroup	ortholog	false	false	false		1838			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_950295315.1-RS_2023_10	2026-08-13	Laurasiatheria	XP_060059410.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_003414318.3	9785	Loxodonta africana	ingroup	ortholog	false	false	false		1858			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030014295.1-RS_2024_04	2026-08-13	Afrotheria	XP_003414318.3	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_023581001.1	127582	Trichechus manatus latirostris	ingroup	ortholog	false	false	false		1851			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000243295.1-RS_2024_01	2026-08-13	Afrotheria	XP_023581001.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_075417988.1	94439	Tenrec ecaudatus	ingroup	ortholog	false	false	false		1802			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_050624435.1-RS_2025_07	2026-08-13	Afrotheria	XP_075417988.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_058140293.1	9361	Dasypus novemcinctus	ingroup	ortholog	false	false	false		1839			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030445035.2-RS_2025_01	2026-08-13	Xenarthra	XP_058140293.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_037665688.1	27675	Choloepus didactylus	ingroup	ortholog	false	false	false		1862			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Choloepus didactylus Annotation Release 100	2026-08-13	Xenarthra	XP_037665688.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
NP_001029141.1	13616	Monodelphis domestica	ingroup	ortholog	true	false	false		1840			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_027887165.2-RS_2026_06	2026-08-13	Marsupialia	NP_001029141.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_020828279.1	38626	Phascolarctos cinereus	ingroup	ortholog	false	false	false		1857			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_003287225.1-RS_2025_12	2026-08-13	Marsupialia	XP_020828279.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_074079897.1	92651	Macrotis lagotis	ingroup	ortholog	false	false	false		1835			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_037893015.1-RS_2025_05	2026-08-13	Marsupialia	XP_074079897.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
NP_989500.1	9031	Gallus gallus	ingroup	ortholog	true	false	false		1749			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Gallus gallus Annotation Release 106	2026-08-13	Aves	NP_989500.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_072775070.1	59729	Taeniopygia guttata	ingroup	ortholog	false	false	false		1803			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_048771995.1-RS_2025_04	2026-08-13	Aves	XP_072775070.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_068775093.1	8801	Struthio camelus	ingroup	ortholog	false	false	false		1861			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_040807025.1-RS_2024_10	2026-08-13	Aves	XP_068775093.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_025969353.2	8790	Dromaius novaehollandiae	ingroup	ortholog	false	false	false		1864			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_036370855.1-RS_2024_04	2026-08-13	Aves	XP_025969353.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_027301205.3	8839	Anas platyrhynchos	ingroup	ortholog	false	false	false		1848			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_047663525.1-RS_2025_03	2026-08-13	Aves	XP_027301205.3	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_021136715.2	8932	Columba livia	ingroup	ortholog	false	false	false		1739			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_036013475.1-RS_2024_05	2026-08-13	Aves	XP_021136715.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_029879002.1	223781	Aquila chrysaetos chrysaetos	ingroup	ortholog	false	false	false		1867			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Aquila chrysaetos chrysaetos Annotation Release 101	2026-08-13	Aves	XP_029879002.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_019328559.1	9233	Aptenodytes forsteri	ingroup	ortholog	false	false	false		1867			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Aptenodytes forsteri Annotation Release 101	2026-08-13	Aves	XP_019328559.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_030901062.1	13146	Melopsittacus undulatus	ingroup	ortholog	false	false	false		1818			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_012275295.1-RS_2024_11	2026-08-13	Aves	XP_030901062.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_019406054.1	8502	Crocodylus porosus	ingroup	ortholog	false	false	false		1845			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Crocodylus porosus Annotation Release 100	2026-08-13	Crocodylia	XP_019406054.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_014464710.1	8496	Alligator mississippiensis	ingroup	ortholog	false	false	false		1877			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030867095.1-RS_2023_09	2026-08-13	Crocodylia	XP_014464710.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_019360910.1	94835	Gavialis gangeticus	ingroup	ortholog	false	false	false		1877			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Gavialis gangeticus Annotation Release 100	2026-08-13	Crocodylia	XP_019360910.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_023967135.2	8478	Chrysemys picta bellii	ingroup	ortholog	false	false	false		1908			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_011386835.1-RS_2024_05	2026-08-13	Testudines	XP_023967135.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_006125762.2	13735	Pelodiscus sinensis	ingroup	ortholog	false	false	false		1890			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_049634645.1-RS_2025_08	2026-08-13	Testudines	XP_006125762.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_027690803.2	8469	Chelonia mydas	ingroup	ortholog	false	false	false		1908			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Chelonia mydas Annotation Release 103	2026-08-13	Testudines	XP_027690803.2	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_008111382.1	28377	Anolis carolinensis	ingroup	ortholog	false	false	false		1697			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_035594765.1-RS_2024_02	2026-08-13	Lepidosauria	XP_008111382.1	brca1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_026576759.1	8673	Pseudonaja textilis	ingroup	ortholog	false	false	false		1563			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Pseudonaja textilis Annotation Release 100	2026-08-13	Lepidosauria	XP_026576759.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_020651752.3	103695	Pogona vitticeps	ingroup	ortholog	false	false	false		1725			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_051106095.1-RS_2025_12	2026-08-13	Lepidosauria	XP_020651752.3	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_034272113.1	94885	Pantherophis guttatus	ingroup	ortholog	false	false	false		1869			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_029531705.1-RS_2023_10	2026-08-13	Lepidosauria	XP_034272113.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
XP_044274665.1	61221	Varanus komodoensis	ingroup	ortholog	false	false	false		1659			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Varanus komodoensis Annotation Release 100	2026-08-13	Lepidosauria	XP_044274665.1	BRCA1	BRCA1 DNA repair associated		expanded				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; terminal-domain QC required
NP_001107963.1	8364	Xenopus tropicalis	outgroup	ortholog	true	false	false		1592			NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Xenopus tropicalis Annotation Release 104	2026-08-13	Anura	NP_001107963.1	brca1	BRCA1 DNA repair associated		outgroup				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	amphibian outgroup candidate; root only after split and stability review
XP_075436319.1	8439	Ascaphus truei	outgroup	ortholog	false	false	false		1796			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_040206685.1-RS_2025_07	2026-08-13	Anura	XP_075436319.1	BRCA1	BRCA1 DNA repair associated		outgroup				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	initial amphibian outgroup candidate; terminal-domain QC required; root only after split and stability review
XP_069490300.1	8296	Ambystoma mexicanum	outgroup	ortholog	false	false	false		1955			NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_040938575.1-RS_2024_10	2026-08-13	Caudata	XP_069490300.1	BRCA1	BRCA1 DNA repair associated		outgroup				NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	pending Pfam+SMART terminal-domain QC			Amphibian NCBI Ortholog group member outside Amniota; retain as a candidate only until combined outgroup, branch-length, and stability review	datasets download gene gene-id 672 --ortholog all	amphibian outgroup candidate; root only after split and stability review
