tip_id	analysis_role	inclusion_status	selection_order	reason_codes	accession	taxon_id	species	role	relation	is_reviewed	is_canonical	is_fragment	query_coverage	sequence_length	bitscore	evalue	source_db	source_release	retrieved_at	clade	accession_version	gene_name	protein_name	lineage	analysis_group	target_coverage	percent_identity	alignment_length	orthology_source	orthology_evidence	domain_architecture	cluster_id	cluster_representative	outgroup_rationale	retrieval_query_id	notes	sequence_sha256
XP_021136715.2	expanded	selected	11		XP_021136715.2	8932	Columba livia	ingroup	ortholog	false	false	false	0.879227	1739	747	1.12e-127	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_036013475.1-RS_2024_05	2026-08-13	Aves	XP_021136715.2	BRCA1	BRCA1 DNA repair associated		expanded	0.93042	36.214	1759	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (27-68); tandem C-terminal BRCT (1524-1609;1641-1728)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 27-68; BRCT 1524-1609;1641-1728).	6518d8b0fb72feddffde944db9f404897be4b2c99efe3a8977b2026debbdd21a
NP_989500.1	expanded	selected	12		NP_989500.1	9031	Gallus gallus	ingroup	ortholog	true	false	false	0.788513	1749	669	6.02e-82	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Gallus gallus Annotation Release 106	2026-08-13	Aves	NP_989500.1	BRCA1	BRCA1 DNA repair associated		expanded	0.8502	36.585	1558	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1535-1617;1648-1736)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1535-1617;1648-1736).	1e9921c11fc3110efeda127ffab8f4f5cda0240f8afed4e7bc0170eb78a27f4d
XP_019328559.1	expanded	selected	13		XP_019328559.1	9233	Aptenodytes forsteri	ingroup	ortholog	false	false	false	0.995706	1867	758	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Aptenodytes forsteri Annotation Release 101	2026-08-13	Aves	XP_019328559.1	BRCA1	BRCA1 DNA repair associated		expanded	0.999464	34.702	1997	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1652-1737;1768-1856)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1652-1737;1768-1856).	ea553b7d9af9d6a9fe4d07bfd4c51c4b24d4db4217a3160f53fca27bcc479782
XP_014464710.1	expanded	selected	14		XP_014464710.1	8496	Alligator mississippiensis	ingroup	ortholog	false	false	false	0.996779	1877	844	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_030867095.1-RS_2023_09	2026-08-13	Crocodylia	XP_014464710.1	BRCA1	BRCA1 DNA repair associated		expanded	0.999467	36.58	1971	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1661-1745;1777-1864)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1661-1745;1777-1864).	ac0184069779d964fbdbee9844c99b6804d15d5b323457baf1f8160b21d4243b
XP_019406054.1	expanded	selected	15		XP_019406054.1	8502	Crocodylus porosus	ingroup	ortholog	false	false	false	0.112721	1845	314	1.68e-88	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Crocodylus porosus Annotation Release 100	2026-08-13	Crocodylia	XP_019406054.1	BRCA1	BRCA1 DNA repair associated		expanded	0.113821	66.667	210	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1629-1713;1745-1832)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1629-1713;1745-1832).	6364488fb8917b6fe32c2f1e07aaffa9d52552f79fdcc5f41262ded2c1056609
XP_019360910.1	expanded	selected	16		XP_019360910.1	94835	Gavialis gangeticus	ingroup	ortholog	false	false	false	0.996779	1877	828	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Gavialis gangeticus Annotation Release 100	2026-08-13	Crocodylia	XP_019360910.1	BRCA1	BRCA1 DNA repair associated		expanded	0.999467	36.034	1987	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-65); tandem C-terminal BRCT (1661-1745;1777-1864)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-65; BRCT 1661-1745;1777-1864).	90894e08069c98abecaaeddfcef44290979514fdf7f2aa58e750d964e0b25ae1
NP_033894.3	expanded	selected	17		NP_033894.3	10090	Mus musculus	ingroup	ortholog	true	false	false	0.997316	1812	1845	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_000001635.27-RS_2024_02	2026-08-13	Glires	NP_033894.3	Brca1	BRCA1 DNA repair associated		expanded	0.993377	55.985	1863	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1587-1669;1699-1787)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1587-1669;1699-1787).	9efbb1366f2c40eebf0fda72143cbb1071dfe57aca96ebb611a99cc91b60be93
NP_036646.2	expanded	selected	18		NP_036646.2	10116	Rattus norvegicus	ingroup	ortholog	true	false	false	0.997316	1817	1854	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_036323735.1-RS_2024_02	2026-08-13	Glires	NP_036646.2	Brca1	BRCA1 DNA repair associated		expanded	0.992295	56.146	1863	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1590-1672;1702-1790)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1590-1672;1702-1790).	b7493184acbe51e1c256c77c1abf2f311409fc30b2a7d315423e2d11aafe406e
XP_013005150.1	expanded	selected	19		XP_013005150.1	10141	Cavia porcellus	ingroup	ortholog	false	false	false	0.99839	1754	1447	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_034190915.1-RS_2024_02	2026-08-13	Glires	XP_013005150.1	Brca1	BRCA1 DNA repair associated		expanded	0.995439	47.112	1887	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (28-68); tandem C-terminal BRCT (1530-1617;1649-1736)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 28-68; BRCT 1530-1617;1649-1736).	f46948787c5ad8809633f1e3859a7f0d158c57ae0ca422285d0d5d742f9dcaa5
XP_047399506.1	expanded	selected	20		XP_047399506.1	30640	Sciurus carolinensis	ingroup	ortholog	false	false	false	0.999463	1849	2720	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_902686445.1-RS_2023_03	2026-08-13	Glires	XP_047399506.1	Brca1	BRCA1 DNA repair associated		expanded	0.996755	75.027	1870	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (29-69); tandem C-terminal BRCT (1630-1712;1744-1831)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 29-69; BRCT 1630-1712;1744-1831).	5c9c7ae429def5045922b1ee4e60685cfde7dfb94a9402cfa9d3b5b1b82ac07d
XP_017204702.2	expanded	selected	21		XP_017204702.2	9986	Oryctolagus cuniculus	ingroup	ortholog	false	false	false	0.997853	1853	2515	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_964237555.1-RS_2024_11	2026-08-13	Glires	XP_017204702.2	BRCA1	BRCA1 DNA repair associated		expanded	0.994064	69.474	1864	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1626-1709;1741-1828)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1626-1709;1741-1828).	aa15863e282e7be0befbfc2263deac23d7697a9e14646d5d9ee14fd69f348696
XP_014314296.1	expanded	selected	22		XP_014314296.1	59463	Myotis lucifugus	ingroup	ortholog	false	false	false	0.98336	1876	2524	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Myotis lucifugus Annotation Release 102	2026-08-13	Laurasiatheria	XP_014314296.1	BRCA1	BRCA1 DNA repair associated		expanded	0.965352	72.313	1842	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (47-82); tandem C-terminal BRCT (1638-1723;1755-1842)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 47-82; BRCT 1638-1723;1755-1842).	b681993f5a5262813509af9e6cb3b9aabc56a24520172fda8f06694ae5add583
XP_060059410.1	expanded	selected	23		XP_060059410.1	9365	Erinaceus europaeus	ingroup	ortholog	false	false	false	0.998926	1838	2259	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_950295315.1-RS_2023_10	2026-08-13	Laurasiatheria	XP_060059410.1	BRCA1	BRCA1 DNA repair associated		expanded	0.995103	65.72	1867	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1607-1694;1726-1813)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1607-1694;1726-1813).	ffb7f6fccd5822d11cf8f5b0d9e28d6504ff8f8513c41ce635f7a35df2ab69ea
NP_001013434.1	expanded	selected	24		NP_001013434.1	9615	Canis lupus familiaris	ingroup	ortholog	true	false	false	0.998926	1878	2667	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Canis lupus familiaris Annotation Release 106	2026-08-13	Laurasiatheria	NP_001013434.1	BRCA1	BRCA1 DNA repair associated		expanded	0.995208	74.12	1874	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1647-1729;1766-1853)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1647-1729;1766-1853).	2030202149df889701bdbdcbc3538b789e3a065df6fa62a8cb3d027180bdc258
XP_019673492.2	expanded	selected	25		XP_019673492.2	9685	Felis catus	ingroup	ortholog	false	false	false	0.998926	1873	2756	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: NCBI Felis catus Annotation Release 105	2026-08-13	Laurasiatheria	XP_019673492.2	BRCA1	BRCA1 DNA repair associated		expanded	0.995195	75.548	1869	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1647-1729;1761-1848)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1647-1729;1761-1848).	3b3e1329829fe9a1c19aaa5d174178e6e70bdaa3a70f5ce1dbde1bd66bbfeae5
XP_014595447.2	expanded	selected	26		XP_014595447.2	9796	Equus caballus	ingroup	ortholog	false	false	false	0.997853	1856	2824	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_041296265.1-RS_2024_12	2026-08-13	Laurasiatheria	XP_014595447.2	BRCA1	BRCA1 DNA repair associated		expanded	1	76.515	1865	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1641-1723;1755-1842)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1641-1723;1755-1842).	89a98b8379caaec48356b09457bb9dc87080046c1ee86603021599319ab4b1f4
XP_013845389.1	expanded	selected	27		XP_013845389.1	9823	Sus scrofa	ingroup	ortholog	false	false	false	0.998926	1865	2722	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_054392235.1-RS_2026_06	2026-08-13	Laurasiatheria	XP_013845389.1	BRCA1	BRCA1 DNA repair associated		expanded	0.996783	74.318	1869	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1642-1724;1756-1843)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1642-1724;1756-1843).	7c189147ec5e5b081d06c9cc318009dc128800d1b04a35bea5e68ffb498dd54d
NP_848668.1	expanded	selected	28		NP_848668.1	9913	Bos taurus	ingroup	ortholog	true	false	false	0.996243	1849	2587	0	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_002263795.3-RS_2024_12	2026-08-13	Laurasiatheria	NP_848668.1	BRCA1	BRCA1 DNA repair associated		expanded	1	71.781	1864	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1638-1719;1751-1838)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1638-1719;1751-1838).	7dc769c839eccc50a8969b35fd386787f1e1baff39d2934c27c1fb04d9b6b297
XP_020651752.3	expanded	selected	29		XP_020651752.3	103695	Pogona vitticeps	ingroup	ortholog	false	false	false	0.63285	1725	564.5	4.71e-75	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_051106095.1-RS_2025_12	2026-08-13	Lepidosauria	XP_020651752.3	BRCA1	BRCA1 DNA repair associated		expanded	0.663768	36.517	1246	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (35-76); tandem C-terminal BRCT (1508-1593;1625-1712)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 35-76; BRCT 1508-1593;1625-1712).	c826edc530d1d7a37d705f80a36c6a0e145d92f6f3e17aef0a1b68ee2ad90901
XP_008111382.1	expanded	selected	30		XP_008111382.1	28377	Anolis carolinensis	ingroup	ortholog	false	false	false	0.620505	1697	455.9	5.24e-78	NCBI Gene / RefSeq	NCBI gene-record annotation context: GCF_035594765.1-RS_2024_02	2026-08-13	Lepidosauria	XP_008111382.1	brca1	BRCA1 DNA repair associated		expanded	0.655274	34.241	1212	NCBI Orthologs	NCBI Ortholog group membership for human GeneID 672; the provider method combines protein similarity, nucleotide alignment, and microsynteny; pair-specific evidence components were not exported	InterProScan Pfam+SMART pass: N-terminal RING (24-64); tandem C-terminal BRCT (1481-1567;1598-1686)			not applicable	datasets download gene gene-id 672 --ortholog all	taxonomically balanced NCBI Ortholog group representative; selected before executable screening. QC: BLAST union coverage and Pfam+SMART terminal architecture passed (RING 24-64; BRCT 1481-1567;1598-1686).	21723306572cd252ffe771d97f5f76c41d1ecaad32632407acc1f77dda867ab3
